"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","GP"
"Jordan Nolan","Los Angeles Kings",950000,"C",8,-3,27,0.369318181818182,46
"Jordan Schroeder","Minnesota Wild",650000,"C",13,5,26,0.155080213903743,37
"Jordin Tootoo","Chicago Blackhawks",7e+05,"RW",3,-6,33,0.96045197740113,50
"Jori Lehtera","St. Louis Blues",4700000,"C",22,-6,29,0.428571428571429,64
"Josh Anderson","Columbus Blue Jackets",1850000,"RW",29,12,22,0.135294117647059,78
"Josh Bailey","New York Islanders",3300000,"RW",56,5,27,0.602484472049689,82
"Josh Gorges","Buffalo Sabres",3900000,"D",6,-3,32,0.891566265060241,66
"Josh Jooris","Arizona Coyotes",775000,"RW",12,-2,26,0.247252747252747,54
"Josh Manson","Anaheim Ducks",825000,"D",17,14,25,0.430232558139535,82
"Jussi Jokinen","Florida Panthers",4e+06,"LW",28,-15,33,0.349726775956284,69
"Justin Falk","Buffalo Sabres",650000,"D",8,-3,28,0.286458333333333,52
"Jyrki Jokipakka","Ottawa Senators",2112642.72596154,"D",6,-4,25,0.28042328042328,41
"Kevin Connauton","Arizona Coyotes",1e+06,"D",1,-1,26,0.0645161290322581,24
